,priceSpecification.price,itemOffered.brand,itemOffered.fuelType,itemOffered.mileageFromOdometer.value,0,1,2,3,year,model,version,page
0,32500,Toyota,Benzyna,215600,Toyota,MR2,1.8,VVT-i,2000,MR2,1.8,24
1,5700,Volkswagen,Benzyna,213235,Volkswagen,Golf,IV,1.4,2000,Golf,IV,24
2,24900,Kia,Diesel,140900,Kia,Retona,2.0,TD,2000,Retona,2.0,24
3,19900,Mercedes-Benz,Benzyna,229010,Mercedes-Benz,Klasa,S,320,2000,S,320,24
4,11900,Mercedes-Benz,Diesel,286580,Mercedes-Benz,Klasa,E,320,2000,E,320,24
5,3350,Renault,Benzyna,169000,Renault,Megane,,,2000,Megane,,24
6,19000,Ford,Benzyna,70000,Ford,Windstar,3.0,,2000,Windstar,3.0,24
7,3700,Fiat,Diesel,265000,Fiat,Punto,1.9,D,2000,Punto,1.9,24
8,4999,Audi,Benzyna,200000,Audi,A3,,,2000,A3,,24
9,13900,Audi,Benzyna+LPG,263000,Audi,A6,,,2000,A6,,24
10,5500,Audi,Diesel,450000,Audi,A6,,,2000,A6,,24
11,4900,Renault,Benzyna,248000,Renault,Kangoo,,,2000,Kangoo,,24
12,4499,Volkswagen,Benzyna,180000,Volkswagen,Lupo,1.4,,2000,Lupo,1.4,24
13,8800,Honda,Benzyna,152866,Honda,Accord,,,2000,Accord,,24
14,8900,Toyota,Benzyna,181225,Toyota,Corolla,,,2000,Corolla,,24
15,13700,Mazda,Benzyna,174000,Mazda,MX-5,1.6,16V,2000,MX-5,1.6,24
16,18800,Audi,Benzyna,240000,Audi,TT,,,2000,TT,,24
17,2300,Mercedes-Benz,Diesel,299673,Mercedes-Benz,Klasa,A,170,2000,A,170,24
18,5500,Audi,Benzyna,206000,Audi,A3,1.6,FSI,2000,A3,1.6,24
19,18900,Mercedes-Benz,Benzyna,116000,Mercedes-Benz,Klasa,C,200,2000,C,200,24
20,9300,Subaru,Benzyna,221000,Subaru,Forester,,,2000,Forester,,24
21,23500,Mazda,Benzyna,99600,Mazda,MX-5,,,2000,MX-5,,24
22,3900,Fiat,Benzyna,139382,Fiat,Seicento,,,2000,Seicento,,24
23,11900,Volkswagen,Diesel,449000,Volkswagen,Transporter,,,2000,Transporter,,24
24,6500,Volkswagen,Benzyna,271000,Volkswagen,Golf,,,2000,Golf,,24
25,92250,Jaguar,Benzyna,144000,Jaguar,XK8,,,2000,XK8,,24
26,3999,Volvo,Diesel,312000,Volvo,S80,2.5TDI,,2000,S80,2.5TDI,24
27,12200,BMW,Benzyna+LPG,339254,BMW,Seria,5,,2000,5,,24
28,9500,Suzuki,Benzyna,250000,Suzuki,Grand,Vitara,,2000,Grand,Vitara,24
29,3999,Seat,Diesel,400000,Seat,Alhambra,1.9,TDI,2000,Alhambra,1.9,24
30,10900,BMW,Benzyna,201200,BMW,Seria,3,320i,2000,3,320i,24
31,15000,Mercedes-Benz,Benzyna,253000,Mercedes-Benz,CLK,200,,2000,CLK,200,24
0,9600,BMW,Benzyna,250000,BMW,Seria,5,520i,2000,5,520i,19
1,16500,Subaru,Benzyna,233050,Subaru,Forester,2.0,Hubertus,2000,Forester,2.0,19
